task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
150	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_REP2)	3.12 mWh	1.5 mg	-	480 gCO₂e/kWh	119.8 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.25 mWh	620.83 uWh
156	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	131 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
133	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (SPT5_T15_REP1)	45.27 mWh	21.73 mg	-	480 gCO₂e/kWh	140.6 %	6 GB	12s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	19.04 mWh	8.07 mWh
138	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (SPT5_T0_REP1)	42.79 mWh	20.54 mg	-	480 gCO₂e/kWh	129.6 %	6 GB	12s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	17.55 mWh	8.07 mWh
142	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:HOMER_ANNOTATEPEAKS (SPT5_T15_REP1)	13.86 mWh	6.65 mg	-	480 gCO₂e/kWh	99.7 %	6 GB	5s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	5.19 mWh	3.1 mWh
166	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:HOMER_ANNOTATEPEAKS (SPT5_T0_REP1)	11.15 mWh	5.35 mg	-	480 gCO₂e/kWh	100.6 %	6 GB	3s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.19 mWh	2.48 mWh
168	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_INPUT_REP2)	4.81 mWh	2.31 mg	-	480 gCO₂e/kWh	938.2 %	6 GB	277ms	10	3.75 W	AMD EPYC 7282 16-Core Processor	2.71 mWh	171.97 uWh
169	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MULTIQC_CUSTOM_PEAKS (SPT5_T15_REP1)	93.78 uWh	45.01 ug	-	480 gCO₂e/kWh	114.3 %	6 GB	31ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	36.91 uWh	19.25 uWh
171	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:FRIP_SCORE (SPT5_T15_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	117 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
173	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:FRIP_SCORE (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	115.3 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
174	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:PLOT_MACS3_QC	24.56 mWh	11.79 mg	-	480 gCO₂e/kWh	646.3 %	6 GB	2s 0ms	7	3.75 W	AMD EPYC 7282 16-Core Processor	13.46 mWh	1.24 mWh
176	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_T0_REP1)	3.15 mWh	1.51 mg	-	480 gCO₂e/kWh	121.2 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.26 mWh	620.83 uWh
177	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_T15_REP1)	3.21 mWh	1.54 mg	-	480 gCO₂e/kWh	125 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.3 mWh	620.83 uWh
175	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:MACS3_CONSENSUS (SPT5)	4.38 mWh	2.1 mg	-	480 gCO₂e/kWh	192.3 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	2 mWh	620.83 uWh
178	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_T0_REP2)	3.12 mWh	1.5 mg	-	480 gCO₂e/kWh	120 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.25 mWh	620.83 uWh
179	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_T15_REP2)	3.21 mWh	1.54 mg	-	480 gCO₂e/kWh	124.8 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.3 mWh	620.83 uWh
180	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_INPUT_REP1)	3.2 mWh	1.54 mg	-	480 gCO₂e/kWh	124.4 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.3 mWh	620.83 uWh
181	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:BEDTOOLS_GENOMECOV (SPT5_INPUT_REP2)	3.24 mWh	1.55 mg	-	480 gCO₂e/kWh	126.5 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.32 mWh	620.83 uWh
182	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MULTIQC_CUSTOM_PEAKS (SPT5_T0_REP1)	99.08 uWh	47.56 ug	-	480 gCO₂e/kWh	136.8 %	6 GB	29ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	41.33 uWh	18 uWh
145	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (SPT5_T0_REP2)	44.66 mWh	21.44 mg	-	480 gCO₂e/kWh	137.9 %	6 GB	12s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	18.67 mWh	8.07 mWh
170	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:HOMER_ANNOTATEPEAKS (SPT5_T15_REP2)	11.13 mWh	5.34 mg	-	480 gCO₂e/kWh	100.4 %	6 GB	3s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.18 mWh	2.48 mWh
172	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:HOMER_ANNOTATEPEAKS (SPT5_T0_REP2)	11.11 mWh	5.33 mg	-	480 gCO₂e/kWh	100.1 %	6 GB	3s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.17 mWh	2.48 mWh
183	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MULTIQC_CUSTOM_PEAKS (SPT5_T15_REP2)	76.66 uWh	36.8 ug	-	480 gCO₂e/kWh	132 %	6 GB	23ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	31.63 uWh	14.28 uWh
184	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:MULTIQC_CUSTOM_PEAKS (SPT5_T0_REP2)	79.6 uWh	38.21 ug	-	480 gCO₂e/kWh	116.4 %	6 GB	26ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	31.52 uWh	16.14 uWh
185	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_T0_REP1)	2.33 mWh	1.12 mg	-	480 gCO₂e/kWh	74.4 %	6 GB	1s 0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	775 uWh	620.83 uWh
186	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_T15_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	106.9 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
188	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:SUBREAD_FEATURECOUNTS (SPT5)	2.6 mWh	1.25 mg	-	480 gCO₂e/kWh	89.7 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	934.38 uWh	620.83 uWh
189	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	85.7 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
190	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_T15_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	74.7 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
191	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_INPUT_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	100.3 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
192	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC:UCSC_BEDGRAPHTOBIGWIG (SPT5_INPUT_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	98.8 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
193	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER:PLOT_HOMER_ANNOTATEPEAKS	15.81 mWh	7.59 mg	-	480 gCO₂e/kWh	394.8 %	6 GB	2s 0ms	4	3.75 W	AMD EPYC 7282 16-Core Processor	8.23 mWh	1.24 mWh
201	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:IGV	0 Wh	0 g	-	480 gCO₂e/kWh	82.4 %	6 GB	0ms	1	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
202	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:ANNOTATE_BOOLEAN_PEAKS (SPT5)	91.94 uWh	44.13 ug	-	480 gCO₂e/kWh	91.4 %	6 GB	35ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	33.32 uWh	21.73 uWh
196	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:DESEQ2_QC (SPT5)	47.78 mWh	22.94 mg	-	480 gCO₂e/kWh	136.6 %	6 GB	14s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	19.92 mWh	8.69 mWh
197	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_REP2)	406.07 mWh	194.91 mg	-	480 gCO₂e/kWh	191.4 %	6 GB	1min 32s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	185.42 mWh	57.74 mWh
194	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_REP1)	421.68 mWh	202.4 mg	-	480 gCO₂e/kWh	192.9 %	6 GB	1min 36s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	192.9 mWh	59.6 mWh
195	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_REP1)	422.19 mWh	202.65 mg	-	480 gCO₂e/kWh	190.6 %	6 GB	1min 36s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	192.59 mWh	60.22 mWh
198	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_REP2)	419.67 mWh	201.44 mg	-	480 gCO₂e/kWh	191.7 %	6 GB	1min 36s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	191.7 mWh	59.6 mWh
199	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_REP1)	409.35 mWh	196.49 mg	-	480 gCO₂e/kWh	188.1 %	6 GB	1min 34s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	186.14 mWh	58.98 mWh
200	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_REP2)	423.51 mWh	203.29 mg	-	480 gCO₂e/kWh	194 %	6 GB	1min 36s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	194 mWh	59.6 mWh
211	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_REP1)	21 mWh	10.08 mg	-	480 gCO₂e/kWh	242.2 %	6 GB	3s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	10.09 mWh	2.48 mWh
203	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T0_REP2)	21.25 mWh	10.2 mg	-	480 gCO₂e/kWh	245.8 %	6 GB	3s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	10.24 mWh	2.48 mWh
214	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_REP2)	15.83 mWh	7.6 mg	-	480 gCO₂e/kWh	243.7 %	6 GB	2s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	7.62 mWh	1.86 mWh
204	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T0_REP2)	36.6 mWh	17.57 mg	-	480 gCO₂e/kWh	150.8 %	6 GB	10s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	15.71 mWh	6.21 mWh
206	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T0_REP1)	18.22 mWh	8.74 mg	-	480 gCO₂e/kWh	202.2 %	6 GB	3s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	8.42 mWh	2.48 mWh
207	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T15_REP1)	18.44 mWh	8.85 mg	-	480 gCO₂e/kWh	205.4 %	6 GB	3s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	8.56 mWh	2.48 mWh
210	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T15_REP2)	18.33 mWh	8.8 mg	-	480 gCO₂e/kWh	203.8 %	6 GB	3s 1000ms	3	3.75 W	AMD EPYC 7282 16-Core Processor	8.49 mWh	2.48 mWh
208	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T15_REP1)	36.39 mWh	17.47 mg	-	480 gCO₂e/kWh	149.6 %	6 GB	10s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	15.58 mWh	6.21 mWh
205	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T0_REP1)	36.27 mWh	17.41 mg	-	480 gCO₂e/kWh	148.9 %	6 GB	10s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	15.51 mWh	6.21 mWh
212	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_REP1)	38.63 mWh	18.54 mg	-	480 gCO₂e/kWh	142.3 %	6 GB	11s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	16.31 mWh	6.83 mWh
213	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_REP2)	36.91 mWh	17.72 mg	-	480 gCO₂e/kWh	152.6 %	6 GB	10s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	15.9 mWh	6.21 mWh
209	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T15_REP2)	36.44 mWh	17.49 mg	-	480 gCO₂e/kWh	149.9 %	6 GB	10s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	15.61 mWh	6.21 mWh
215	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC	160.92 mWh	77.24 mg	-	480 gCO₂e/kWh	58.1 %	6 GB	1min 18s 595ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	47.57 mWh	48.79 mWh
187	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2:HOMER_ANNOTATEPEAKS (SPT5)	11.1 mWh	5.33 mg	-	480 gCO₂e/kWh	99.9 %	6 GB	3s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.16 mWh	2.48 mWh
144	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTFINGERPRINT (SPT5_T15_REP2)	45.3 mWh	21.74 mg	-	480 gCO₂e/kWh	140.7 %	6 GB	12s 1000ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	19.05 mWh	8.07 mWh
