task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
116	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_INPUT_REP2)	6.48 mWh	3.11 mg	-	480 gCO₂e/kWh	126.6 %	6 GB	2s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	2.64 mWh	1.24 mWh
117	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	78.9 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
115	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_T0_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	146.2 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
120	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_INPUT_REP1)	2.43 mWh	1.17 mg	-	480 gCO₂e/kWh	80 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	833.33 uWh	620.83 uWh
118	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_T0_REP2)	10.9 mWh	5.23 mg	-	480 gCO₂e/kWh	123.8 %	6 GB	3s 417ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.41 mWh	2.12 mWh
122	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_INPUT_REP1)	13.52 mWh	6.49 mg	-	480 gCO₂e/kWh	101 %	6 GB	4s 841ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	5.09 mWh	3.01 mWh
123	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS (SPT5_T15_REP2)	5.35 mWh	2.57 mg	-	480 gCO₂e/kWh	1159.8 %	6 GB	252ms	12	3.75 W	AMD EPYC 7282 16-Core Processor	3.04 mWh	156.45 uWh
125	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T15_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	72.4 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
127	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_REP2)	4.05 mWh	1.94 mg	-	480 gCO₂e/kWh	173.1 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.8 mWh	620.83 uWh
130	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T0_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	56 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
